county,population,area,population_density,bachelor_or_higher,income_per_cap,percent_white,percent_poverty,percent_females,percent_over_65,winner
"Box Butte County, Nebraska",10783,1075,10.03,17.60,25046,83.10,23.90,50.30,19.00,Donald Trump
"Boyd County, Nebraska",1919,540,3.55,16.10,23157,95.70,10.50,49.80,30.60,Donald Trump
"Brown County, Nebraska",2955,1221,2.42,21.80,21843,97.00,15.60,51.20,26.10,Donald Trump
"Buffalo County, Nebraska",49659,968,51.30,31.60,24830,88.20,13.60,50.00,14.50,Donald Trump
"Burt County, Nebraska",6459,493,13.10,18.30,25203,93.80,9.70,50.40,24.10,Donald Trump
"Butler County, Nebraska",8016,584,13.73,14.10,27673,95.50,9.40,49.40,20.90,Donald Trump
"Cass County, Nebraska",26248,559,46.96,23.60,29638,94.60,6.40,49.60,17.50,Donald Trump
"Cedar County, Nebraska",8402,740,11.35,16.60,25738,97.10,10.10,49.40,21.40,Donald Trump
"Chase County, Nebraska",3924,894,4.39,18.20,28241,85.90,12.80,50.50,20.50,Donald Trump
"Cherry County, Nebraska",5689,5961,0.95,21.30,25213,89.40,13.00,49.30,21.80,Donald Trump
"Cheyenne County, Nebraska",8910,1196,7.45,25.30,28296,89.90,14.00,49.70,19.40,Donald Trump
"Clay County, Nebraska",6203,573,10.83,17.60,23876,90.00,9.00,48.70,20.30,Donald Trump
"Colfax County, Nebraska",10709,413,25.93,14.40,23751,54.20,15.50,46.70,13.50,Donald Trump
"Cuming County, Nebraska",8846,572,15.47,17.50,24496,89.40,11.60,49.90,22.00,Donald Trump
"Custer County, Nebraska",10777,2576,4.18,21.00,24615,95.30,9.60,50.20,22.40,Donald Trump
"Dakota County, Nebraska",20026,264,75.86,11.10,20179,52.40,16.90,49.30,13.60,Donald Trump
"Dawes County, Nebraska",8589,1396,6.15,40.60,21137,86.90,19.30,50.10,18.50,Donald Trump
"Dawson County, Nebraska",23595,1013,23.29,16.00,20142,61.40,14.80,48.00,16.60,Donald Trump
"Deuel County, Nebraska",1794,440,4.08,21.80,27199,92.80,13.50,50.40,23.50,Donald Trump
"Dixon County, Nebraska",5636,476,11.84,16.50,23769,86.60,11.20,49.10,20.10,Donald Trump
"Dodge County, Nebraska",36565,534,68.47,18.70,24588,86.20,10.70,50.40,19.20,Donald Trump
"Douglas County, Nebraska",571327,331,1726.06,36.40,29180,71.40,14.30,50.60,13.00,Joe Biden
"Dundy County, Nebraska",1693,920,1.84,22.20,28502,90.40,8.10,50.00,25.30,Donald Trump
"Fillmore County, Nebraska",5462,576,9.48,18.20,25460,94.50,8.80,50.00,22.60,Donald Trump
"Franklin County, Nebraska",2979,576,5.17,17.50,26095,96.80,12.90,50.80,28.20,Donald Trump
"Frontier County, Nebraska",2627,975,2.69,16.50,25262,96.60,12.00,48.90,23.90,Donald Trump
"Furnas County, Nebraska",4676,718,6.51,16.80,22068,95.00,16.20,50.20,25.00,Donald Trump
"Gage County, Nebraska",21513,855,25.16,20.00,24555,95.30,11.70,50.10,20.80,Donald Trump
"Garden County, Nebraska",1837,1705,1.08,20.80,26715,93.10,9.40,47.70,27.90,Donald Trump
"Garfield County, Nebraska",1969,570,3.45,13.80,22092,97.80,13.00,50.10,28.70,Donald Trump
"Gosper County, Nebraska",1990,458,4.34,18.00,23266,93.30,8.00,48.70,23.90,Donald Trump
"Grant County, Nebraska",623,776,0.80,17.70,19968,97.20,18.80,47.10,22.60,Donald Trump
"Greeley County, Nebraska",2356,570,4.13,15.00,23833,96.50,12.10,50.80,25.60,Donald Trump
"Hall County, Nebraska",61353,546,112.37,17.10,23380,70.00,13.70,49.60,14.90,Donald Trump
"Hamilton County, Nebraska",9324,544,17.14,24.10,26715,95.70,10.10,49.80,19.90,Donald Trump
"Harlan County, Nebraska",3380,553,6.11,15.30,25322,96.70,12.10,48.20,26.20,Donald Trump
"Hayes County, Nebraska",922,713,1.29,19.80,23749,94.60,5.90,48.30,27.50,Donald Trump
"Hitchcock County, Nebraska",2762,710,3.89,13.80,23554,95.80,15.50,49.60,25.30,Donald Trump
"Holt County, Nebraska",10067,2413,4.17,19.00,24120,94.80,10.20,50.00,21.60,Donald Trump
"Hooker County, Nebraska",682,721,0.95,24.70,20737,96.50,12.80,51.80,30.50,Donald Trump
"Howard County, Nebraska",6445,570,11.31,17.80,26770,95.90,10.30,49.30,21.10,Donald Trump
"Jefferson County, Nebraska",7046,573,12.30,13.50,24777,94.50,13.60,50.50,23.90,Donald Trump
"Johnson County, Nebraska",5071,376,13.49,12.80,19435,81.10,13.70,41.20,18.80,Donald Trump
"Kearney County, Nebraska",6495,516,12.59,26.40,27796,93.80,4.90,50.10,19.60,Donald Trump
"Keith County, Nebraska",8034,1061,7.57,20.40,25097,91.50,11.20,49.60,26.70,Donald Trump
"Keya Paha County, Nebraska",806,773,1.04,17.20,25251,98.90,15.50,51.50,31.00,Donald Trump
"Kimball County, Nebraska",3632,952,3.82,16.40,24565,88.20,13.00,49.80,24.40,Donald Trump
"Knox County, Nebraska",8332,1108,7.52,17.00,25214,86.80,14.00,50.50,24.70,Donald Trump
"Lancaster County, Nebraska",319090,839,380.32,36.10,27141,83.40,15.20,49.80,13.90,Joe Biden
"Lincoln County, Nebraska",34914,2564,13.62,19.40,26188,89.00,11.40,50.50,19.30,Donald Trump
"Logan County, Nebraska",748,571,1.31,19.90,22799,95.30,12.10,47.10,22.60,Donald Trump
"Loup County, Nebraska",664,570,1.16,12.60,21499,96.50,25.80,49.00,26.70,Donald Trump
"McPherson County, Nebraska",494,573,0.86,20.80,24593,81.70,14.20,50.50,15.90,Donald Trump
"Madison County, Nebraska",35099,859,40.86,26.30,25339,97.70,13.60,49.00,24.20,Donald Trump
"Merrick County, Nebraska",7755,485,15.99,17.00,24639,93.00,12.60,49.90,20.60,Donald Trump
"Morrill County, Nebraska",4642,1424,3.26,18.30,22543,83.00,13.80,48.70,21.20,Donald Trump
"Nance County, Nebraska",3519,441,7.98,13.20,23684,96.10,12.60,50.30,21.40,Donald Trump
"Nemaha County, Nebraska",6972,409,17.05,24.90,25269,94.50,10.40,50.00,20.10,Donald Trump
"Nuckolls County, Nebraska",4148,575,7.21,13.70,22448,96.00,11.10,50.30,27.10,Donald Trump
"Otoe County, Nebraska",16012,616,25.99,23.20,25855,90.80,10.50,50.40,19.50,Donald Trump
"Pawnee County, Nebraska",2613,432,6.05,11.60,25426,95.60,21.50,50.80,28.70,Donald Trump
"Perkins County, Nebraska",2891,883,3.27,22.30,27931,95.40,5.80,49.10,23.50,Donald Trump
"Phelps County, Nebraska",9034,540,16.73,21.70,26856,93.10,9.10,49.90,20.70,Donald Trump
"Pierce County, Nebraska",7148,574,12.45,18.80,24830,97.00,5.60,49.40,19.30,Donald Trump
"Platte County, Nebraska",33470,678,49.37,18.50,24219,82.20,10.70,49.30,17.20,Donald Trump
"Polk County, Nebraska",5213,439,11.87,20.30,27639,95.00,8.30,50.60,22.90,Donald Trump
"Red Willow County, Nebraska",10724,717,14.96,19.50,23320,92.30,12.70,50.20,20.80,Donald Trump
"Richardson County, Nebraska",7865,554,14.20,18.80,23566,92.60,17.20,49.70,24.70,Donald Trump
"Rock County, Nebraska",1357,1008,1.35,19.10,24501,97.20,10.00,49.60,26.70,Donald Trump
"Saline County, Nebraska",14224,575,24.74,15.10,20407,73.20,16.80,48.80,15.00,Donald Trump
"Sarpy County, Nebraska",187196,241,776.75,36.20,30189,82.80,6.60,50.00,11.80,Donald Trump
"Saunders County, Nebraska",21578,754,28.62,24.40,30039,95.80,8.00,49.40,18.70,Donald Trump
"Scotts Bluff County, Nebraska",35618,739,48.20,20.00,23220,73.90,13.70,51.30,19.00,Donald Trump
"Seward County, Nebraska",17284,575,30.06,26.10,28359,95.60,8.80,48.90,16.80,Donald Trump
"Sheridan County, Nebraska",5246,2441,2.15,22.60,22551,83.70,16.00,50.90,26.80,Donald Trump
"Sherman County, Nebraska",3001,566,5.30,17.70,24837,97.00,13.50,50.90,27.10,Donald Trump
"Sioux County, Nebraska",1166,1313,0.89,27.00,31517,93.10,9.30,48.70,28.60,Donald Trump
"Stanton County, Nebraska",5920,430,13.77,17.70,23131,91.70,8.50,49.30,17.90,Donald Trump
"Thayer County, Nebraska",5003,575,8.70,16.30,26965,96.10,13.40,50.20,25.30,Donald Trump
"Thomas County, Nebraska",722,713,1.01,22.70,30116,95.60,7.70,48.60,26.00,Donald Trump
"Thurston County, Nebraska",7224,394,18.34,15.80,17106,39.00,26.90,50.60,11.80,Donald Trump
"Valley County, Nebraska",4158,568,7.32,17.80,23227,96.20,15.20,50.40,25.30,Donald Trump
"Washington County, Nebraska",20729,390,53.15,28.90,29328,95.20,7.70,49.90,17.80,Donald Trump
"Wayne County, Nebraska",9385,444,21.14,33.10,24448,90.60,15.00,49.70,16.30,Donald Trump
"Webster County, Nebraska",3487,575,6.06,17.20,21423,92.50,15.50,50.20,22.90,Donald Trump
"Wheeler County, Nebraska",783,575,1.36,17.50,25898,97.90,16.00,48.90,25.80,Donald Trump
"York County, Nebraska",13679,576,23.75,24.90,28207,92.20,8.90,51.00,20.30,Donald Trump
"Churchill County, Nevada",24909,4929,5.05,20.10,26264,69.10,16.20,49.20,18.90,Donald Trump
"Clark County, Nevada",2266715,7911,286.53,16.80,24716,74.60,15.00,50.10,14.70,Joe Biden
"Douglas County, Nevada",48905,710,68.88,22.10,26217,46.10,15.10,49.70,28.50,Donald Trump
"Elko County, Nevada",52778,17182,3.07,25.70,34123,81.60,10.20,48.10,11.30,Donald Trump
"Esmeralda County, Nevada",873,3589,0.24,16.40,28358,67.80,8.80,44.80,36.80,Donald Trump
"Eureka County, Nevada",2029,4176,0.49,13.90,20862,72.10,22.30,47.20,16.30,Donald Trump
"Humboldt County, Nevada",16831,9658,1.74,24.70,28056,81.20,13.90,47.90,13.70,Donald Trump
"Lander County, Nevada",5532,5494,1.01,12.60,26515,67.30,12.30,48.80,15.80,Donald Trump
"Lincoln County, Nevada",5183,10635,0.49,12.00,29800,70.30,9.30,46.30,24.80,Donald Trump
"Lyon County, Nevada",57510,1994,28.84,16.30,22879,85.40,17.30,48.90,21.20,Donald Trump
"Mineral County, Nevada",4505,3757,1.20,16.70,21757,76.60,15.00,50.50,24.70,Donald Trump
"Nye County, Nevada",46523,18147,2.56,11.00,23146,65.90,20.50,48.80,30.10,Donald Trump
"Pershing County, Nevada",6725,6009,1.12,12.30,21838,77.70,18.90,35.60,15.90,Donald Trump
"Storey County, Nevada",4123,264,15.62,10.50,18203,67.40,18.00,48.80,31.50,Donald Trump
"Washoe County, Nevada",471519,6342,74.35,21.50,33472,84.70,11.00,49.60,16.40,Joe Biden
"White Pine County, Nevada",9580,8877,1.08,27.30,28670,64.70,15.10,41.90,18.00,Donald Trump
"Belknap County, New Hampshire",61303,401,152.88,13.80,24435,73.90,12.90,50.60,22.10,Donald Trump
"Carroll County, New Hampshire",48910,934,52.37,28.00,30518,95.10,9.90,50.40,27.90,Joe Biden
"Cheshire County, New Hampshire",76085,708,107.46,31.20,31558,96.00,10.10,51.10,19.90,Joe Biden
"Coos County, New Hampshire",31563,1801,17.53,30.40,27874,94.80,11.40,47.20,23.70,Donald Trump
"Grafton County, New Hampshire",89886,1714,52.44,17.30,24367,95.60,13.40,50.60,20.70,Joe Biden
"Hillsborough County, New Hampshire",417025,876,476.06,37.70,30738,91.50,11.20,50.20,15.70,Joe Biden
"Merrimack County, New Hampshire",151391,934,162.09,35.00,34390,86.70,8.60,50.70,18.20,Joe Biden
"Rockingham County, New Hampshire",309769,695,445.71,33.30,31310,93.70,8.70,50.40,18.00,Joe Biden
"Strafford County, New Hampshire",130633,369,354.02,37.20,38399,93.50,5.50,51.00,15.00,Joe Biden
"Sullivan County, New Hampshire",43146,537,80.35,31.80,29369,92.10,10.50,50.60,21.50,Joe Biden
"Atlantic County, New Jersey",263670,561,470.00,25.60,28582,95.70,9.90,51.60,17.90,Joe Biden
"Bergen County, New Jersey",932202,234,3983.77,24.20,27391,57.20,14.40,51.50,17.20,Joe Biden
"Burlington County, New Jersey",445349,805,553.23,45.90,43347,59.70,7.20,50.70,16.90,Joe Biden
"Camden County, New Jersey",506471,222,2281.40,34.60,36835,69.40,5.50,51.80,15.70,Joe Biden
"Cape May County, New Jersey",92039,255,360.94,29.10,30592,58.80,13.00,51.10,26.60,Donald Trump
"Cumberland County, New Jersey",149527,489,305.78,28.70,32948,86.00,10.10,49.00,15.30,Joe Biden
"Essex County, New Jersey",798975,126,6341.07,14.30,22524,48.60,17.50,51.90,13.60,Joe Biden
"Gloucester County, New Jersey",291636,325,897.34,32.00,32181,32.70,16.60,51.30,15.80,Joe Biden
"Hudson County, New Jersey",672391,47,14306.19,28.40,32600,80.00,8.10,50.20,11.80,Joe Biden
"Hunterdon County, New Jersey",124371,430,289.23,36.30,32641,29.80,16.80,50.50,18.50,Donald Trump
"Mercer County, New Jersey",367430,226,1625.80,47.60,50349,86.90,4.00,51.10,15.10,Joe Biden
"Middlesex County, New Jersey",825062,311,2652.93,38.80,37465,52.60,11.20,50.70,15.00,Joe Biden
"Monmouth County, New Jersey",618795,472,1311.01,40.10,34345,46.40,8.50,51.40,17.60,Donald Trump
"Morris County, New Jersey",491845,469,1048.71,41.40,42749,76.10,7.00,50.90,17.10,Joe Biden
"Ocean County, New Jersey",607186,636,954.69,50.00,48814,73.30,4.40,51.70,22.50,Donald Trump
"Passaic County, New Jersey",501826,185,2712.57,25.40,30477,85.20,10.40,51.20,14.50,Joe Biden
"Salem County, New Jersey",62385,338,184.57,25.60,27152,43.70,16.30,50.90,18.60,Donald Trump
"Somerset County, New Jersey",328934,305,1078.47,20.40,28772,75.80,12.40,51.10,15.60,Joe Biden
"Sussex County, New Jersey",140488,521,269.65,51.10,47803,59.80,5.00,50.30,17.30,Donald Trump
"Union County, New Jersey",556341,103,5401.37,32.40,37949,87.90,5.70,51.20,14.40,Joe Biden
"Warren County, New Jersey",105267,358,294.04,31.80,35089,43.20,10.80,51.00,18.20,Donald Trump
"Bernalillo County, New Mexico",679121,1166,582.44,29.60,33555,84.10,7.80,50.90,16.40,Joe Biden
"Catron County, New Mexico",3527,6928,0.51,32.10,26814,40.60,18.00,47.20,41.50,Donald Trump
"Chaves County, New Mexico",64615,6071,10.64,18.50,20616,75.20,19.70,50.40,16.00,Donald Trump
"Cibola County, New Mexico",26675,4540,5.88,18.40,19492,41.60,21.30,48.90,16.10,Joe Biden
"Colfax County, New Mexico",11941,3757,3.18,10.40,16129,21.10,27.60,49.30,26.80,Donald Trump
"Curry County, New Mexico",48954,1406,34.82,19.80,21387,48.20,17.70,48.10,12.50,Donald Trump
"De Baca County, New Mexico",1748,2325,0.75,20.40,21259,50.50,18.90,50.50,27.90,Donald Trump
"Do�a Ana County, New Mexico",218195,3807,57.31,17.90,24879,56.70,23.50,50.90,15.80,Joe Biden
"Eddy County, New Mexico",58460,4182,13.98,16.70,28438,50.30,12.50,49.70,14.50,Donald Trump
"Grant County, New Mexico",26998,3966,6.81,24.20,22755,47.40,20.20,50.90,27.70,Joe Biden
"Guadalupe County, New Mexico",4300,3031,1.42,11.30,14198,16.30,17.50,43.00,19.60,Joe Biden
"Harding County, New Mexico",625,2126,0.29,21.40,25686,54.80,16.70,48.90,37.70,Donald Trump
"Hidalgo County, New Mexico",4198,3446,1.22,14.10,18392,40.80,24.30,50.40,22.40,Donald Trump
"Lea County, New Mexico",71070,4393,16.18,13.30,22484,39.90,15.00,48.60,11.40,Donald Trump
"Lincoln County, New Mexico",19572,4831,4.05,23.60,25449,64.20,14.70,51.20,28.70,Donald Trump
"Los Alamos County, New Mexico",19369,109,177.70,63.40,51044,74.40,4.40,49.20,17.90,Joe Biden
"Luna County, New Mexico",23709,2965,8.00,13.80,16114,33.20,29.70,49.70,21.10,Donald Trump
"McKinley County, New Mexico",71367,5449,13.10,11.20,12679,10.00,35.00,51.60,12.40,Joe Biden
"Mora County, New Mexico",4521,1931,2.34,9.50,20543,17.90,19.70,48.90,28.80,Joe Biden
"Otero County, New Mexico",67490,6627,10.18,16.60,19880,51.60,21.80,48.30,17.20,Donald Trump
"Quay County, New Mexico",8253,2855,2.89,13.20,17936,51.60,21.40,51.20,25.50,Donald Trump
"Rio Arriba County, New Mexico",38921,5858,6.64,16.40,20014,13.20,21.20,51.10,19.40,Joe Biden
"Roosevelt County, New Mexico",18500,2449,7.55,21.10,17477,54.50,25.40,50.00,14.30,Donald Trump
"Sandoval County, New Mexico",146748,3710,39.55,15.20,21260,40.70,22.40,50.50,14.90,Joe Biden
"San Juan County, New Mexico",123958,5514,22.48,19.60,17926,19.40,29.40,50.50,21.70,Donald Trump
"San Miguel County, New Mexico",27277,4717,5.78,28.30,26924,45.80,14.20,51.00,17.70,Joe Biden
"Santa Fe County, New Mexico",150358,1909,78.76,39.70,32298,43.50,17.00,51.50,24.30,Joe Biden
"Sierra County, New Mexico",10791,4180,2.58,21.10,17752,66.60,22.60,50.00,36.50,Donald Trump
"Socorro County, New Mexico",16637,6647,2.50,19.40,18104,36.30,25.10,49.80,19.30,Joe Biden
"Taos County, New Mexico",32723,2203,14.85,29.50,21333,36.20,25.30,50.80,26.50,Joe Biden
"Torrance County, New Mexico",15461,3345,4.62,14.70,18675,54.00,28.60,47.00,20.70,Donald Trump
"Union County, New Mexico",4059,3830,1.06,17.00,18472,54.60,11.90,44.10,20.90,Donald Trump
"Valencia County, New Mexico",76688,1068,71.81,16.60,19623,34.80,23.60,49.80,17.70,Donald Trump
"Albany County, New York",305506,533,573.18,38.80,32328,74.50,13.00,51.60,17.00,Joe Biden
"Allegany County, New York",46091,1034,44.58,18.90,20978,95.00,16.50,49.20,19.00,Donald Trump
"Bronx County, New York",1418207,57,24694.53,18.10,18171,10.50,29.80,52.80,13.10,Joe Biden
"Broome County, New York",190488,715,266.42,26.10,24835,85.20,17.40,50.80,19.10,Donald Trump
"Cattaraugus County, New York",76117,1310,58.10,17.20,22049,91.20,17.90,50.40,19.20,Donald Trump
"Cayuga County, New York",76576,864,88.63,19.60,24702,90.90,12.70,48.80,19.10,Donald Trump
"Chautauqua County, New York",126903,1500,84.60,20.70,22168,88.40,19.10,50.60,20.10,Donald Trump
"Chemung County, New York",83456,411,203.15,21.50,25329,86.80,15.70,50.30,19.00,Donald Trump
"Chenango County, New York",47207,899,52.52,17.10,22097,95.00,15.50,49.90,20.40,Donald Trump
"Clinton County, New York",80485,1118,71.99,22.10,24676,90.70,14.50,48.50,17.10,Donald Trump
"Columbia County, New York",59461,648,91.76,28.20,33613,87.40,9.80,49.90,23.80,Joe Biden
"Cortland County, New York",47581,502,94.78,23.50,23179,93.00,14.70,51.10,16.50,Donald Trump
"Delaware County, New York",44135,1468,30.06,19.80,23677,92.60,14.20,49.50,24.50,Donald Trump
"Dutchess County, New York",294218,825,356.63,32.90,33594,73.30,9.00,50.20,17.60,Donald Trump
"Erie County, New York",918702,1227,748.74,30.90,27978,76.90,14.60,51.60,17.90,Joe Biden
"Essex County, New York",36885,1916,19.25,23.30,26582,92.50,11.90,48.40,23.40,Donald Trump
"Franklin County, New York",50022,1697,29.48,16.50,21575,81.60,19.20,45.00,16.80,Donald Trump
"Fulton County, New York",53383,533,100.16,14.90,23839,93.40,16.10,50.20,19.60,Donald Trump
"Genesee County, New York",57280,495,115.72,20.80,25403,91.00,12.60,50.30,18.70,Donald Trump
"Greene County, New York",47188,658,71.71,20.10,25700,86.50,15.10,47.70,22.10,Donald Trump
"Hamilton County, New York",4416,1808,2.44,24.20,28265,95.90,9.40,49.90,31.30,Donald Trump
"Herkimer County, New York",61319,1458,42.06,20.50,23418,95.10,15.00,50.50,20.70,Donald Trump
"Jefferson County, New York",109834,1857,59.15,20.00,23078,82.70,15.40,47.40,13.70,Donald Trump
"Kings County, New York",2559903,97,26417.99,30.60,25289,36.00,23.20,52.60,14.40,Joe Biden
"Lewis County, New York",26296,1290,20.38,13.60,22942,96.00,13.50,49.30,18.30,Donald Trump
"Livingston County, New York",62914,640,98.30,24.40,23978,91.40,13.40,49.80,17.90,Donald Trump
"Madison County, New York",70941,662,107.16,25.90,25230,93.60,11.30,50.70,18.30,Donald Trump
"Monroe County, New York",741770,1366,543.02,35.80,28732,72.00,15.00,51.70,17.20,Joe Biden
"Montgomery County, New York",49221,410,120.05,16.00,23417,83.60,18.70,50.80,18.60,Donald Trump
"Nassau County, New York",1356924,453,2995.42,41.50,42400,63.30,6.00,51.30,17.80,Donald Trump
"New York County, New York",1628706,34,48229.38,58.90,62498,47.50,17.70,52.60,17.00,Joe Biden
"Niagara County, New York",209281,1140,183.58,22.20,25991,86.70,13.70,51.30,19.10,Donald Trump
"Oneida County, New York",228671,1213,188.52,22.40,25103,83.60,15.90,50.20,18.80,Donald Trump
"Onondaga County, New York",460528,806,571.37,33.10,28746,78.40,14.80,51.80,17.00,Joe Biden
"Ontario County, New York",109777,662,165.83,31.70,29904,90.90,9.50,51.00,19.90,Donald Trump
"Orange County, New York",384940,839,458.81,28.70,30583,66.60,12.40,49.90,14.00,Donald Trump
"Orleans County, New York",40352,817,49.39,16.40,22255,86.90,13.40,50.10,17.90,Donald Trump
"Oswego County, New York",117124,1312,89.27,17.20,23126,94.60,17.40,49.90,16.30,Donald Trump
"Otsego County, New York",59493,1003,59.32,26.80,24165,91.90,15.50,51.50,21.20,Donald Trump
"Putnam County, New York",98320,246,399.67,38.40,40309,81.50,5.80,50.00,17.40,Donald Trump
"Queens County, New York",2253858,178,12642.24,30.00,26495,26.70,15.00,51.50,16.30,Joe Biden
"Rensselaer County, New York",158714,665,238.67,28.60,29987,84.80,13.20,50.60,17.00,Donald Trump
"Richmond County, New York",476143,103,4645.30,29.70,31823,63.20,11.90,51.40,16.70,Donald Trump
"Rockland County, New York",325789,199,1637.13,40.40,34591,63.90,13.60,50.90,15.70,Donald Trump
"St. Lawrence County, New York",107740,2821,38.19,37.10,35176,91.70,6.50,50.50,18.10,Donald Trump
"Saratoga County, New York",229863,844,272.35,29.00,28319,76.10,12.70,51.30,17.10,Donald Trump
"Schenectady County, New York",155299,210,739.52,19.30,26584,93.70,11.50,49.80,21.90,Joe Biden
"Schoharie County, New York",30999,626,49.52,16.90,24173,95.30,11.50,50.10,21.30,Donald Trump
"Schuyler County, New York",17807,342,52.07,19.20,23115,89.50,12.30,47.50,19.20,Donald Trump
"Seneca County, New York",34016,325,104.66,20.40,22198,92.40,19.60,48.90,17.40,Donald Trump
"Steuben County, New York",95379,1404,67.93,20.80,25371,94.00,15.50,50.20,19.70,Donald Trump
"Suffolk County, New York",1476601,2373,622.25,32.90,36945,70.10,6.40,50.80,16.90,Donald Trump
"Sullivan County, New York",75432,997,75.66,20.90,24963,73.70,18.20,48.50,18.90,Donald Trump
"Tioga County, New York",48203,523,92.17,24.10,27230,95.60,9.30,50.30,20.30,Donald Trump
"Tompkins County, New York",102180,476,214.66,49.30,27418,78.70,20.50,50.80,14.50,Joe Biden
"Ulster County, New York",177573,1161,152.95,29.90,30442,80.60,12.50,50.40,19.80,Joe Biden
"Warren County, New York",63944,870,73.50,28.00,30351,94.50,10.90,50.90,22.20,Donald Trump
"Washington County, New York",61204,846,72.35,18.30,24168,92.90,13.20,48.20,19.50,Donald Trump
"Wayne County, New York",89918,1384,64.97,20.90,25327,90.60,11.30,50.40,18.90,Donald Trump
"Westchester County, New York",967506,500,1935.01,45.40,47984,55.70,9.50,51.60,17.10,Joe Biden
"Wyoming County, New York",39859,596,66.88,14.60,22700,89.80,10.50,45.90,17.90,Donald Trump
"Yates County, New York",24913,376,66.26,23.20,24457,95.60,15.90,51.40,20.80,Donald Trump
"Alamance County, North Carolina",169509,435,389.68,21.70,23166,66.20,18.30,52.60,16.90,Donald Trump
"Alexander County, North Carolina",37497,263,142.57,11.70,20440,87.60,17.20,49.10,20.00,Donald Trump
"Alleghany County, North Carolina",10939,236,46.35,18.30,19510,87.10,19.80,50.50,27.10,Donald Trump
"Anson County, North Carolina",26161,537,48.72,10.20,16752,45.50,24.20,48.00,18.50,Joe Biden
"Ashe County, North Carolina",27151,427,63.59,19.50,20838,92.70,21.10,50.90,25.70,Donald Trump
"Avery County, North Carolina",17713,247,71.71,20.40,21598,89.40,18.00,45.60,22.20,Donald Trump
"Beaufort County, North Carolina",46994,959,49.00,18.30,21636,65.90,21.00,52.20,24.00,Donald Trump
"Bertie County, North Carolina",20344,741,27.45,10.60,17096,35.10,23.40,49.50,23.00,Joe Biden
"Bladen County, North Carolina",34843,887,39.28,10.50,19154,54.70,25.80,52.30,21.80,Donald Trump
"Brunswick County, North Carolina",142820,860,166.07,25.10,26839,81.30,16.60,52.20,31.50,Donald Trump
"Buncombe County, North Carolina",261191,660,395.74,33.80,26159,84.00,17.10,52.10,20.00,Joe Biden
"Burke County, North Carolina",90485,515,175.70,16.60,19701,82.30,20.00,50.00,20.20,Donald Trump
"Cabarrus County, North Carolina",216453,365,593.02,25.10,25247,70.00,13.20,51.30,13.20,Donald Trump
"Caldwell County, North Carolina",82178,474,173.37,12.50,19228,88.20,19.50,50.50,19.90,Donald Trump
"Camden County, North Carolina",10187,306,33.29,18.80,25620,80.10,6.00,50.20,16.30,Donald Trump
"Carteret County, North Carolina",69743,1341,52.01,23.90,27496,86.50,14.40,51.00,25.00,Donald Trump
"Caswell County, North Carolina",23190,428,54.18,9.00,17975,61.50,22.60,49.20,21.50,Donald Trump
"Catawba County, North Carolina",159551,414,385.39,21.00,23232,77.20,15.20,51.20,17.90,Donald Trump
"Chatham County, North Carolina",74470,709,105.04,36.40,31175,71.40,12.40,52.20,24.40,Joe Biden
"Cherokee County, North Carolina",27218,497,54.76,16.70,18340,91.60,17.90,51.30,29.60,Donald Trump
"Chowan County, North Carolina",14726,233,63.20,20.10,19240,60.70,29.00,52.40,24.60,Donald Trump
"Clay County, North Carolina",10584,221,47.89,20.60,22081,94.10,24.30,51.20,31.10,Donald Trump
"Cleveland County, North Carolina",97947,469,208.84,16.30,20062,73.90,19.30,51.90,18.60,Donald Trump
"Columbus County, North Carolina",55508,954,58.18,12.20,19275,60.50,25.00,50.50,20.10,Donald Trump
"Craven County, North Carolina",102139,774,131.96,21.00,24260,66.70,16.60,49.40,19.00,Donald Trump
"Cumberland County, North Carolina",335509,658,509.89,22.70,23067,45.80,17.00,50.50,11.90,Joe Biden
"Currituck County, North Carolina",24396,526,46.38,18.40,25854,87.90,9.80,50.50,16.20,Donald Trump
"Dare County, North Carolina",35019,1562,22.42,30.60,30529,88.00,8.80,50.70,21.40,Donald Trump
"Davidson County, North Carolina",167609,567,295.61,17.60,22549,81.40,16.30,51.10,18.20,Donald Trump
"Davie County, North Carolina",42846,267,160.47,24.90,26319,85.10,13.40,51.20,21.20,Donald Trump
"Duplin County, North Carolina",58741,819,71.72,10.40,17122,52.30,26.30,51.30,18.70,Donald Trump
"Durham County, North Carolina",321488,298,1078.82,45.10,29347,42.10,18.50,52.30,13.10,Joe Biden
"Edgecombe County, North Carolina",51472,507,101.52,10.50,16971,37.30,25.20,53.80,19.70,Joe Biden
"Forsyth County, North Carolina",382295,413,925.65,31.90,26541,58.00,18.60,52.60,16.00,Joe Biden
"Franklin County, North Carolina",69685,495,140.78,17.10,21399,63.60,16.10,50.60,16.80,Donald Trump
"Gaston County, North Carolina",224529,364,616.84,18.00,22658,75.00,17.90,51.80,16.10,Donald Trump
"Gates County, North Carolina",11650,346,33.67,11.60,21187,62.60,19.60,50.50,20.20,Donald Trump
"Graham County, North Carolina",8736,302,28.93,14.40,19780,88.30,21.10,50.00,23.80,Donald Trump
"Granville County, North Carolina",60443,537,112.56,16.40,22295,58.70,15.40,49.00,17.10,Donald Trump
"Greene County, North Carolina",21232,266,79.82,11.60,18441,47.80,23.30,45.40,16.60,Donald Trump
